author,title,year,journal,volume,pages,type,possible_duplicate
"Arroniz-Crespo, M., Perez-Ortega, S., De los Rios, A., Green, T.G.A., Ochoa-Hues",Bryophyte-Cyanobacteria Associations during Primary Succession in Recently Deglaciated Areas of Tier,2014,Plos One,9(5),,article,
"Atala, C., Schneider, C., Bravo, G., Quilodran, M. and Vargas, R.","Anatomical, physiological and chemical differences between populations of Pseudocyphellaria flavican",2015,Gayana Botanica,72(1),21-26,article,
"Cornelius, C.",SPATIAL VARIATION IN NEST-SITE SELECTION BY A SECONDARY CAVITY-NESTING BIRD IN A HUMAN-ALTERED LANDS,2008,Condor,110(4),615-626,article,
"Del Val, E. and Dirzo, R.",Myrmecophily: Plants with their own army,2004,Interciencia,29(12),673+,article,
"Diaz, I., Papic, C. and Armesto, J.","An assessment of post-dispersal seed predation in temperate rain forest fragments in Chiloe Island,",1999,Oikos,87(2),228-238,article,
"Diaz, I.A., Correa, C., Pena-Foxon, M.E., Mendez, M.A. and Charrier, A.",First record on an amphibian in the canopy of temperate rainforests of southern South America: Eupso,2010,Bosque,31(2),165-168,article,
"Diaz, I.A., Sieving, K.E., Pena-Foxon, M. and Armesto, J.J.",A field experiment links forest structure and biodiversity: epiphytes enhance canopy invertebrates i,2012,Ecosphere,3(1),,article,
"Diaz, I.A., Sieving, K.E., Pena-Foxon, M.E., Larrain, J. and Armesto, J.J.",Epiphyte diversity and biomass loads of canopy emergent trees in Chilean temperate rain forests: A n,2010,Forest Ecology And Management,259(8),1490-1501,article,
"Ely, F., Torres, F., Rada, F. and Leon, Y.",Morpho-anatomical study of two tropical cloud forest orchids,2007,Interciencia,32(6),410-418,article,
"Fernanda Salinas, M., Arroyo, M.T.K. and Armesto, J.J.",EPIPHYTIC GROWTH HABITS OF CHILEAN GESNERIACEAE AND THE EVOLUTION OF EPIPHYTES WITHIN THE TRIBE CORO,2010,Annals Of The Missouri Botanical Garden,97(1),117-1,article,
