species,decimalLongitude,decimalLatitude,countryCode,year,basisOfRecord,.val,.equ,.zer,.cap,.cen,.gbf,.inst
asteranthera-ovata,-73.436737,-40.196222,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-72.123763,-41.415519,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-72.947838,-45.074653,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-73.450312,-40.197245,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-73.450287,-40.197205,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-73.451338,-40.195755,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-72.530248,-44.454937,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-73.448862,-40.195872,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-72.536995,-41.13815,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-71.728258,-39.171512,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-73.781913,-43.016322,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-74.100667,-42.617933,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-73.439353,-40.194502,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-71.823272,-39.81305,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-72.442078,-41.895788,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-73.449425,-40.197503,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-72.363137,-42.470508,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-73.400757,-40.047387,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-71.5746,-38.47197,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-72.110155,-41.416967,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-72.564164,-41.581177,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-71.71361,-39.149807,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-72.436599,-42.003396,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-73.419892,-40.004586,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-73.951108,-43.113741,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-73.014884,-41.411919,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-72.816483,-41.338537,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-73.960933,-42.760838,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-72.63115,-41.508462,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-72.408055,-41.907628,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-72.433235,-44.601976,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
asteranthera-ovata,-72.127148,-41.409886,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
