species,decimalLongitude,decimalLatitude,countryCode,year,basisOfRecord,.val,.equ,.zer,.cap,.cen,.gbf,.inst
luzuriaga-radicans,-73.108892,-41.629962,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
luzuriaga-radicans,-71.917858,-39.869664,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
luzuriaga-radicans,-72.543374,-44.464632,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
luzuriaga-radicans,-71.344396,-36.152639,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
luzuriaga-radicans,-74.141884,-42.751155,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
luzuriaga-radicans,-71.555687,-38.838262,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
luzuriaga-radicans,-74.108528,-42.624237,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
luzuriaga-radicans,-72.349151,-41.948257,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
luzuriaga-radicans,-72.312089,-40.738907,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
luzuriaga-radicans,-72.209338,-41.444988,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
luzuriaga-radicans,-73.183967,-38.013581,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
luzuriaga-radicans,-73.052425,-39.609716,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
luzuriaga-radicans,-73.39822,-39.874272,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
luzuriaga-radicans,-72.741158,-45.460163,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
luzuriaga-radicans,-72.74153,-45.459788,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
luzuriaga-radicans,-72.311373,-40.734611,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
luzuriaga-radicans,-71.846725,-39.760863,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
luzuriaga-radicans,-74.035019,-42.006879,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
