species,decimalLongitude,decimalLatitude,countryCode,year,basisOfRecord,.val,.equ,.zer,.cap,.cen,.gbf,.inst
mitraria-coccinea,-72.544767,-44.469141,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-71.904758,-39.863026,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-72.745408,-45.457312,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-72.735992,-45.467937,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-72.404695,-40.779625,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-71.637076,-37.756964,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-73.038172,-47.526564,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-72.932594,-45.146252,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-72.175747,-40.664501,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-72.743828,-45.458542,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-72.604064,-38.665836,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-72.74533,-45.4574,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-73.255711,-39.786413,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-74.108528,-42.624237,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-72.029071,-39.52259,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-72.132714000000007,-41.411931,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-72.947625,-37.804225,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-73.631712,-41.709693,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-73.323862,-39.70037,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-72.466562,-42.979722,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-74.108292,-42.624787,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-72.431763,-41.147702,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-71.87313,-39.500022,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-73.438945,-40.194863,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-72.187576,-41.437214,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mitraria-coccinea,-72.391802,-39.786135,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
