species,decimalLongitude,decimalLatitude,countryCode,year,basisOfRecord,.val,.equ,.zer,.cap,.cen,.gbf,.inst
philesia-magellanica,-73.545733,-47.798483,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
philesia-magellanica,-72.122136,-41.414004,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
philesia-magellanica,-72.353622,-42.468392,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
philesia-magellanica,-73.030382,-41.412432,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
philesia-magellanica,-74.102217,-42.618038,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
philesia-magellanica,-72.122269,-41.405587,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
philesia-magellanica,-73.444197,-40.196995,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
philesia-magellanica,-73.796395,-40.973678,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
philesia-magellanica,-73.434702,-40.196097,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
philesia-magellanica,-72.572815,-41.587474,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
philesia-magellanica,-72.29403,-40.7671,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
philesia-magellanica,-72.8842,-41.358733,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
philesia-magellanica,-73.031303,-41.411645,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
philesia-magellanica,-73.198587,-45.649972,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
philesia-magellanica,-73.443992,-40.197047,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
philesia-magellanica,-73.962533,-43.116817,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
philesia-magellanica,-71.531169,-53.974769,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
philesia-magellanica,-73.014053,-41.426163,CL,2026,HUMAN_OBSERVATION,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
